Event,Time,SfcId,Result,Resource,Vnffgs,Reason
+,66.0,86,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,66.0,87,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,66.0,88,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,66.95178618411585,79,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,67.0,89,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,68.0,90,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,68.29267076616951,84,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,69.0,91,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,69.31011840697306,83,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,70.0,92,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,71.0,93,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,71.0,94,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,71.03962103695947,87,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,71.21308197830233,81,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,71.5353914764988,82,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,72.0,95,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,73.0,96,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,73.0,97,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,73.0,98,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,74.0,99,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,74.51872447287703,85,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,74.58720191654055,86,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,75.18700052489764,88,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,76.20201215394889,89,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,76.40471719677014,91,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,76.45763142284557,92,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,77.450441346985,90,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,78.77411767445145,93,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,78.86107501751124,95,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,79.14528920974738,94,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,79.89478540022705,98,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,80.23268955571287,97,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,82.40313170692609,96,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,83.3431036843437,99,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
