Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
+,198.0,93,False,"[np.int64(16106), np.int64(23999858), np.int64(1092796)]","[78, 85, 88, 89, 92]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,198.0,94,True,"[np.int64(16088), np.int64(23999834), np.int64(1091058)]","[78, 85, 88, 89, 92, 94]","dict_values([13, 42, 39, 17, 6])",
-,198.04474465550868,75,False,"[np.int64(16088), np.int64(23999834), np.int64(1091058)]","[78, 85, 88, 89, 92, 94]",,
+,199.0,95,True,"[np.int64(16059), np.int64(23999819), np.int64(1090040)]","[78, 85, 88, 89, 92, 94, 95]","dict_values([16, 24, 3, 3, 16])",
-,199.0988995667281,78,True,"[np.int64(16085), np.int64(23999835), np.int64(1090612)]","[85, 88, 89, 92, 94, 95]",,
t,200.0,85,False,"[np.int64(16121), np.int64(23999871), np.int64(1076402)]","[88, 89, 92, 94, 95]",,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
t,200.0,88,True,"[np.int64(16121), np.int64(23999871), np.int64(1075860)]","[88, 89, 92, 94, 95]","dict_values([1, 40, 29, 30, 36])",
t,200.0,89,True,"[np.int64(16121), np.int64(23999871), np.int64(1075390)]","[88, 89, 92, 94, 95]","dict_values([23, 19, 24, 10, 23, 15, 30, 39])",
t,200.0,94,True,"[np.int64(16121), np.int64(23999871), np.int64(1075770)]","[88, 89, 92, 94, 95]","dict_values([13, 38, 4, 11, 6])",
t,200.0,95,False,"[np.int64(16150), np.int64(23999886), np.int64(1076264)]","[88, 89, 92, 94]",,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
-,201.4737353220574,77,False,"[np.int64(16150), np.int64(23999886), np.int64(1076264)]","[88, 89, 92, 94]",,
+,202.0,96,True,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]","dict_values([45, 44, 24, 44, 42, 22, 0])",
-,203.92902499533477,83,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,
+,205.0,97,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,206.0,98,False,"[np.int64(16115), np.int64(23999857), np.int64(1074588)]","[88, 89, 92, 94, 96]",,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
